Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Acer TravelMate B3 TMB311 31 C2HB N4020/4GB/128GB/Win11 (NX.VNFSV.006),5490000,Acer,Intel Celeron,4,11.6,Card tích hợp - Intel UHD Graphics 600,SSD,128 GB SSD M2 PCIe,Windows 11 Home SL,1.4,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-travelmate-b3-tmb311-31-c2hb-nxvnfsv006
Laptop Apple MacBook Air M1 2020 8GB/256GB/7-core GPU (MGND3SA/A),27490000,MacBook,Apple M1,8,13.3,Card tích hợp - 7 nhân GPU,SSD,256 GB SSD,Mac OS,1.29,,2020,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-air-2020-mgn63saa
Laptop MacBook Pro 14 M1 Pro 2021 8-core CPU/16GB/512GB/14-core GPU (MKGR3SA/A),,MacBook,Apple M1 Pro,16,14.2,Card tích hợp - 14 nhân GPU,SSD,512 GB SSD,Mac OS,1.6,,10/2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/macbook-pro-14-m1-pro-2021-8-core-cpu
Laptop Asus TUF Gaming FX506LHB i5 10300H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN188W),20990000,Asus,Intel Core i5 Comet Lake,8,15.6,Card rời - NVIDIA GeForce GTX 1650 4 GB,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,2.3,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506lhb-i5-hn188w
Laptop Apple MacBook Air M2 2022 8GB/256GB/8-core GPU (MLXW3SA/A),32990000,MacBook,Intel Core i5 Comet Lake,8,13.6,Card tích hợp - 8 nhân GPU,SSD,256 GB SSD,Mac OS,1.24,,6/2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-air-m2-2022
Laptop HP 240 G8 i3 1005G1/4GB/512GB/Win11 (617K6PA),13790000,HP,Intel Core i3 Ice Lake,4,14,Card tích hợp - Intel UHD Graphics,SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL,1.47,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-240-g8-i3-617k6pa
Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB SSD/Touch/Pen/Win10 (82MA003UVN),26990000,Lenovo,Intel Core i7 Tiger Lake,16,13,Card tích hợp - Intel Iris Xe Graphics,SSD,1 TB SSD,Windows 10 Home SL,1.168,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma003uvn
Laptop Acer Nitro 5 Gaming AN515 57 54MV i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.003),26490000,Acer,Intel Core i5 Tiger Lake,8,15.6,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,2.2,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003
Laptop Dell Gaming G15 5515 R5 5600H/8GB/256GB/4GB RTX3050/120Hz/OfficeHS/Win11 (P105F004CGR),19990000,Dell,AMD Ryzen 5,8,15.6,"Card rời - NVIDIA GeForce RTX3050, 4 GB",SSD,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",Windows 11 Home SL + Office Home & Student vĩnh viễn,2.8,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-gaming-g15-5515-r5-p105f004cgr
Laptop Asus VivoBook 15X OLED A1503ZA i5 12500H/8GB/512GB/Win11 (L1290W),19590000,Asus,AMD Ryzen 5,8,15.6,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác không giới hạn dung lượng)",Windows 11 Home SL,1.7,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-vivobook-15x-oled-a1503za-i5-l1290w
