Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop Gigabyte Gaming G5 GE-51VN263SH i5 12500H/8GB/512GB/15.6""FHD/GeForce RTX3050 4GB/Win11 (No.00836390)",22190000,Gigabyte,"Intel, Core i5, 12500H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.9 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-ge-i5-12500h-rtx3050
"Laptop Asus TUF Gaming FX517ZC-HN077W i5 12450H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11 (No.00800822)",24990000,Asus,"Intel, Core i5, 12450H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2.0 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx517zc-hn077w-i5-12450h
Laptop Lenovo IdeaPad Gaming 3 15IAH7 i5 12500H/16GB/512GB/15.6”FHD/GeForce RTX 3050 4GB/Win 11 (No.00828577),23990000,Lenovo,"Intel, Core i5, 12500H",16,15.6,NVIDIA GeForce RTX 3050 4GB,SDD,512,Windows 11 Home,2.25 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15iah7-i5-12500h
"Laptop Asus TUF Gaming FX517ZE-HN045W i5 12450H/8GB/512GB/Geforce RTX 3050 Ti 4GB/15.6""FHD/Win 11 (No.00823171)",25190000,Asus,"Intel, Core i5, 12450H",8,15.6,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel Iris Xe Graphics,SDD,512,Windows 11,2 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx517ze-hn045w-i5-12450h
"Laptop Dell Inspiron 16 N5620 i5 1240P/16GB/512GB/16.0""FHD/GeForce MX570 2GB/Win 11 (No.00824411)",26990000,Dell,"Intel, Core i5, 1240P",16,16.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.97 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-16-n5620-i5-1240p
"Laptop MSI Gaming Katana GF66 12UCK-805VN i7 12650H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win11_Balo (No.00842449)",25390000,MSI,"Intel, Core i7, 12650H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11,2.25 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-katana-gf66-12uck-805vn-i7-12650h
"Laptop Lenovo Yoga Slim 7 Pro 14IHU5O i5 11300H/16GB/512GB/14""2.8K OLED/Win 11 (No.00825841)",23190000,Lenovo,"Intel, Core i5, 11300H",16,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11,1.4 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-pro-14ihu5o-i5-11300h
"Laptop Lenovo IdeaPad 5 Pro 16IAH7 i7 12700H/16GB/512GB/16"" WQXGA/Win 11 (No.00833367)",25190000,Lenovo,"Intel, Core i7, 12700H",16,16.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.95 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-5-pro-16iah7-i7-12700h
Laptop Asus Gaming TUF FX517ZM-HN480W i7 12650H/8GB/512GB/15.6FHD/GeForce RTX 3060 6GB/Win 11 (No.00833418),29690000,Asus,"Intel, Core i7, 12650H",8,15.6,NVIDIA GeForce RTX 3060 6GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx517zm-hn480w-i7-12650h
"Laptop Acer Nitro Gaming AN515-58-52SP i5 12500H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win11 (No.00798025)",24490000,Acer,"Intel, Core i5, 12500H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,SDD,512,Windows 11 Home,2.5 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h
"Laptop Asus TUF Gaming FX506LHB-HN188W i5 10300H/8GB/512GB/15.6""FHD/GTX 1650 4GB/Win11 (No.00808460)",17990000,Asus,"Intel, Core i5, 10300H",8,15.6,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics,SDD,512,Windows 11,2.3 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506lhb-hn188w-i5-10300h
"Laptop MSI Gaming GF63 Thin 11SC-1090VN i5 11400H/8GB/512GB/15.6""FHD/GeForce GTX 1650 4GB/Win11 (No.00836251)",18190000,MSI,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce GTX 1650 4GB,SDD,512,Windows 11,1.86 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-1090vn-i5-11400h
"Laptop MSI Modern 14 B11MOU-1028VN i3 1115G4/8GB/256GB/14""FHD/Win11 (No.00793545)",11490000,MSI,"Intel, Core i3, 115G4",8,14.0,Intel UHD Graphics,SDD,256,Windows 11 Home Single Language,1.3 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-1028vn-i3-1115g4
"Laptop HP 15s-fq2663TU i3 1115G4/4GB/256GB/15.6""HD/Win 11 (No.00832758)",10390000,HP,"Intel, Core i3, 1115G4",4,15.6,Intel UHD Graphics,SDD,256,Windows 11 Home Single Language,1.7 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2663tu-i3-1115g4
"Laptop Asus Vivobook X515EA-BR2045W i3 1115G4/4GB/512GB/15.6""HD/Win 11 (No.00826501)",10690000,Asus,"Intel, Core i3, 1115G4",4,15.6,Intel UHD Graphics,SDD,512,Windows 11,1.8 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-br2045w-i3-1115g4
"Laptop Asus Gaming ROG G513IC-HN729W R7 4800H/8GB/512GB/15.6"" FHD/GeForce RTX 3050 4GB/Win11 (No.00839752)",21990000,Asus,"AMD, Ryzen 7, 4800H",8,15.6,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,SDD,512,Windows 11 Home,2.1 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-rog-g513ic-hn729w-r7-4800h
"Laptop MSI Gaming GF63 Thin 11SC-663VN i7 11800H/8GB/512GB/15.6"" FHD/Geforce GTX 1650 MaxQ 4GB/Win 11 (No.00823167)",20490000,MSI,"Intel, Core i7, 11800H",8,15.6,NVIDIA GeForce GTX 1650 Max-Q 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home Single Language,1.86 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-663vn-i7-11800h
"Laptop Acer Nitro Gaming AN515-57-54MV i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10 (No.00775122)",21490000,Acer,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home,2.2 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h
"Laptop MSI GF63 Thin 11UC-444VN i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10/Balo (No.00793701)",20990000,MSI,"Intel, Core i5, 11400H",8,15.6,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,SDD,512,Windows 11 Home Single Language,1.86 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gf63-thin-11uc-444vn-i5-11400h
"Laptop Asus Vivobook M1403QA-LY022W R5 5600H/8GB/512GB/14""WUXGA/Win 11 (No.00828854)",14990000,Asus,"AMD, Ryzen 5, 5600H",8,14.0,AMD Radeon Graphics,SDD,512,Windows 11,1.6 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1403qa-ly022w-r5-5600h
"Laptop MSI Modern 15 A5M 235VN R7 5700U/8GB/512GB/15.6""FHD/Win 11 (No.00783935)",15990000,MSI,"AMD, Ryzen 7, 5700U",8,15.6,AMD Radeon Graphics,SDD,512,Windows 11 Home,1.6 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-235vn-r7-5700u
"Laptop Lenovo IdeaPad 3 14IAU7 i5-1235U/8GB/512GB/14"" FHD/Win 11 (No.00836269)",14990000,Lenovo,"Intel, Core i5, 1235U",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.63 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iau7-i5-1235u
"Laptop HP Pavilion 15 eg2057TU i5 1240P/8GB/512GB/15.6""FHD/Win 11 (No.00825040)",17990000,HP,"Intel, Core i5, 1240P",8,15.6,Intel Iris Xe Graphics,SDD,512,Windows 11 Home Single Language,1.702 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2057tu-i5-1240p
"Laptop Asus Vivobook M1503QA-L1026W R5 5600H/8GB/512GB/15.6""FHD/Win 11 (No.00828685)",16890000,Asus,"AMD, Ryzen 5, 5600H",8,15.6,AMD Radeon Graphics,SDD,512,Windows 11,1.7 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1503qa-l1026w-r5-5600h
"Laptop Lenovo IdeaPad 5 Pro 16IAH7 i5 12500H/16GB/512GB/16"" WQXGA/Win 11 (No.00833368)",22490000,Lenovo,"Intel, Core i5, 12500H",16,16.0,Intel Iris Xe Graphics,SDD,512,Windows 11 Home,1.95 kg,Trung Quốc,2022,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-5-pro-16iah7-i5-12500h
"Laptop MSI Modern 14 B11MOU-1031VN i7-1195G7/8GB/512GB/14""FHD/Win11 (No.00798260)",17990000,MSI,"Intel, Core i7, 1195G7",8,14.0,Intel Iris Xe Graphics,SDD,512,Windows 10 Home Single Language,1.3 kg,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-1031vn-i7-1195g7
