Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop MacBook Pro 2018 13.3"" MR9R2 (Xám)",24945000,APPLE,Intel Core i5 ( 2.3 GHz / Core i5,8,13.3,Onboard  Intel Iris Plus Graphics 650,SSD,512,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-13-3-mr9r2--s1808315?sku=1808315
"Laptop MacBook Air 2020 13.3"" MGN73SA/A (M1/8GB/SSD512GB) (Xám)",30889000,APPLE,Apple M1  Apple M1,8,13.3,Onboard,SSD,512,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-2020-13-3-mgn73sa-a-m1-8gb-ssd512gb--s201201620?sku=201201620
"Laptop MacBook Pro 2020 13.3"" MYDA2SA/A (M1/8GB/SSD256GB) (Bạc)",30899000,APPLE,Apple M1  Apple M1,8,13.3,Onboard,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-2020-13-3-myda2sa-a-m1-8gb-ssd-256gb--s201201621?sku=201201621
"Laptop MacBook Pro 2020 13.3"" MYD82SA/A (M1/8GB/SSD256GB) (Xám)",30899000,APPLE,Apple M1  Apple M1,8,13.3,Onboard,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-2020-13-3-myd82sa-a-m1-8gb-ssd-256gb--s201201622?sku=201201622
"Laptop MacBook Pro 2020 13.3"" MYDC2SA/A (M1/8GB/SSD512GB) (Bạc)",31590000,APPLE,Apple M1  Apple M1,8,13.3,Onboard,SSD,512,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-2020-13-3-inch-mydc2sa-a--s201201623?sku=201201623
"Laptop MacBook Pro 2020 13.3"" MYD92SA/A (M1/8GB/SSD512GB) (Xám)",31590000,APPLE,Apple M1  Apple M1,8,13.3,Onboard,SSD,512,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-2020-13-3-myd92sa-a-m1-8gb-ssd512gb--s201201624?sku=201201624
"Laptop MacBook Air 13.6"" MLXW3SA/A (M2/ 8GB/ SSD 256GB) (SPACE GREY)",30299000,APPLE,Apple M2 chip  Apple M2,8,13.6,Onboard,SSD,256,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-m2-mlxw3sa-a--s220700048?sku=220700048
"Laptop MacBook Air 13.6"" MLXY3SA/A (M2/ 8GB/ SSD 256GB) (SILVER)",30299000,APPLE,Apple M2 chip  Apple M2,8,13.6,Onboard,SSD,256,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-m2-mlxy3sa-a--s220700049?sku=220700049
"Laptop MacBook Air 13.6"" MLY13SA/A (M2/ 8GB/ SSD 256GB) (STARLIGHT)",30299000,APPLE,Apple M2 chip  Apple M2,8,13.6,Onboard,SSD,256,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-m2-mly13sa-a--s220700050?sku=220700050
"Laptop MacBook Air 13.6"" MLY33SA/A (M2/ 8GB/ SSD 256GB) (MIDNIGHT)",30299000,APPLE,Apple M2 chip  Apple M2,8,13.6,Onboard,SSD,256,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-m2-mly33sa-a--s220700051?sku=220700051
"Laptop MacBook Pro 13.3"" MNEH3SA/A (M2/ 8GB/ SSD 256GB) (SPACE GREY)",32309000,APPLE,Apple M2 chip  Apple M2,8,13.3,Onboard,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-m2-mneh3sa-a--s220700056?sku=220700056
"Laptop MacBook Pro 13.3"" MNEP3SA/A (M2/ 8GB/ SSD 256GB) (SILVER)",32309000,APPLE,Apple M2 chip  Apple M2,8,13.3,Onboard,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-m2-mnep3sa-a--s220700057?sku=220700057
"Laptop MacBook Pro 13.3"" MNEJ3SA/A (M2/ 8GB/ SSD 512GB) (SPACE GREY)",36839000,APPLE,Apple M2 chip  Apple M2,8,13.3,Onboard,SSD,512,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-m2-mnej3sa-a--s220700058?sku=220700058
"Laptop MacBook Pro 13.3"" MNEQ3SA/A (M2/ 8GB/ SSD 512GB) (SILVER)",35579000,APPLE,Apple M2 chip  Apple M2,8,13.3,Onboard,SSD,512,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-m2-mneq3sa-a--s220700059?sku=220700059
"Laptop MacBook Pro 13"" Z16T0003V (M2/ 16GB/ SSD 256GB) (Bạc)",37439000,APPLE,"Apple M2  8 nhân, 16 luồng ) Apple M2",16,13.3,Onboard,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-pro-13-inch-z16t0003v--s220802320?sku=220802320
"Laptop MacBook Air 13.6"" Z15S00092  (M2/ 16GB/ 256GB SSD) (Xám)_",35139000,APPLE,Apple M2 chip  Apple M2,16,13.6,Onboard,SSD,256,macOS  macOS,1.2,,,Phongvu,https://phongvu.vn/macbook-air-13-6-inch-z15s00092--s220806187?sku=220806187
"Laptop MacBook Pro 2018 13.3"" MR9U2 (Bạc)",44390000,APPLE,Intel Core i5 ( 2.3 GHz / Core i5,8,13.3,Onboard  Intel HD Graphics,SSD,256,macOS  macOS,1.4,,,Phongvu,https://phongvu.vn/macbook-13-3-mr9u2--s1808314?sku=1808314
Laptop MacBook Air 2018 MRE82 (Xám),31900000,APPLE,Intel Core i5 ( 1.6 GHz - 3.6 GHz / 4MB / Core i5,8,13.3,Onboard  Intel UHD Graphics 617,SSD,128,macOS  macOS,1.2,,,Phongvu,https://phongvu.vn/macbook-air-2018-mre82--s18110453?sku=18110453
Laptop MacBook Air 2018 MREA2 (Bạc),26990000,APPLE,Intel Core i5 ( 1.6 GHz - 3.6 GHz / 4MB / Core i5,8,13.3,Onboard  Intel UHD Graphics 617,SSD,128,macOS  macOS,1.2,,,Phongvu,https://phongvu.vn/macbook-air-2018-mrea2--s18110454?sku=18110454
Laptop MacBook Air 2019 MVFN2SA/A (Vàng),36990000,APPLE,"Intel Core i5 ( 1.6 GHz - 3.6 GHz / 4MB / 2 nhân, 4 luồng ) Core i5",8,13.3,Onboard  Intel UHD Graphics 617,SSD,256,macOS  macOS,1.3,,,Phongvu,https://phongvu.vn/macbook-air-2019-mvfn2saa--s190800126?sku=190800126
"Laptop MacBook Pro 2019 16"" MVVL2SA/A (Bạc)",53000000,APPLE,Intel Core i7  Core i7,16,16,Radeon Pro 5300M  4GB  GDDR6 / Intel UHD Graphics 630,SSD,512,macOS  macOS,2,,,Phongvu,https://phongvu.vn/macbook-pro-2019-16-mvvl2saa--s200400014?sku=200400014
