id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
0,Acer TravelMate B3 TMB311 31 C2HB,ACER,Intel Celeron,Intel,4,11.6,Intel UHD 620,Intel,128,SSD,Windows 11,1.4,Dienmayxanh,5490000,https://www.dienmayxanh.com/laptop/acer-travelmate-b3-tmb311-31-c2hb-nxvnfsv006
1,Apple MacBook Air M1 2020 -core GPU,MACBOOK,Apple M1,Apple,8,13.3,Apple M2 GPU,Apple,256,SSD,Mac OS,1.3,Dienmayxanh,27490000,https://www.dienmayxanh.com/laptop/apple-macbook-air-2020-mgn63saa
2,Asus TUF Gaming FX506LHB,ASUS,Core i5,Intel,8,15.6,GeForce GTX1650 (4GB),Nvidia,512,SSD,Windows 11,2.3,Dienmayxanh,20990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506lhb-i5-hn188w
3,Apple MacBook Air M2 2022 -core GPU,MACBOOK,Core i5,Intel,8,13.6,Apple M2 GPU,Apple,256,SSD,Mac OS,1.2,Dienmayxanh,32990000,https://www.dienmayxanh.com/laptop/apple-macbook-air-m2-2022
4,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,512,SSD,Windows 11,1.5,Dienmayxanh,13790000,https://www.dienmayxanh.com/laptop/hp-240-g8-i3-617k6pa
5,Lenovo Yoga Duet 7 13ITL6,LENOVO,Core i7,Intel,16,13.0,Intel Iris Xe,Intel,1024,SSD,Windows 10,1.2,Dienmayxanh,26990000,https://www.dienmayxanh.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma003uvn
6,Acer Nitro 5 Gaming AN515 57 54MV,ACER,Core i5,Intel,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.2,Dienmayxanh,26490000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003
7,Dell Gaming G15 5515 R5,DELL,AMD Ryzen 5,AMD,8,15.6,GeForce RTX3050 (4GB),Nvidia,256,SSD,Windows 11,2.8,Dienmayxanh,19990000,https://www.dienmayxanh.com/laptop/dell-gaming-g15-5515-r5-p105f004cgr
8,Asus VivoBook 15X,ASUS,AMD Ryzen 5,AMD,8,15.6,Intel Iris Xe,Intel,512,SSD,Windows 11,1.7,Dienmayxanh,19590000,https://www.dienmayxanh.com/laptop/asus-vivobook-15x-oled-a1503za-i5-l1290w
9,HP 15s fq2662TU,HP,Core i3,Intel,4,15.6,Intel UHD 620,Intel,256,SSD,Windows 11,1.7,Dienmayxanh,11210000,https://www.dienmayxanh.com/laptop/hp-15s-fq2662tu-i3-6k795pa
10,Lenovo Ideapad 3 15ITL6,LENOVO,Core i3,Intel,8,15.6,Intel UHD 620,Intel,512,SSD,Windows 11,1.6,Dienmayxanh,10990000,https://www.dienmayxanh.com/laptop/lenovo-ideapad-3-15itl6-i3-82h801nevn
11,HP VICTUS 16 d0292TX,HP,Core i5,Intel,8,16.1,GeForce RTX3050Ti (4GB),Nvidia,1024,SSD,Windows 11,2.5,Dienmayxanh,26590000,https://www.dienmayxanh.com/laptop/hp-victus-16-d0292tx-i5-5z9r3pa
12,Acer Aspire 7 Gaming A715 42G R4XX R5,ACER,AMD Ryzen 5,AMD,8,15.6,GeForce GTX1650 (4GB),Nvidia,1024,SSD,Windows 11,2.1,Dienmayxanh,15990000,https://www.dienmayxanh.com/laptop/acer-aspire-7-gaming-a715-42g-r4xx-r5-nhqaysv008
13,Dell Inspiron 15 3511,DELL,Core i3,Intel,4,15.6,Intel UHD 620,Intel,256,SSD,Windows 11,1.7,Dienmayxanh,12690000,https://www.dienmayxanh.com/laptop/dell-inspiron-15-3511-i3-p112f001cbl
14,HP Envy 13 ba1535TU,HP,Core i7,Intel,8,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.3,Dienmayxanh,23590000,https://www.dienmayxanh.com/laptop/hp-envy-13-ba1535tu-i7-4u6m4pa
